# Creation time: 2022-06-20T16:44:02.726  -0600
#   a      e        i        q        r        M       node     peri  m_rand H_rand color Comments delta
  45.674  0.137    1.860   39.421   39.421   -1.434   74.402  255.509  23.16   7.14 -0.80 39.4221                          38.44
  44.272  0.101    3.852   39.822   46.448  114.247   73.357   31.524  23.79   7.07  0.00 46.4559                          45.47
  43.502  0.164   35.313   36.363   38.675   40.523   52.164  125.307  23.51   7.59  0.00 38.6759                          37.68
  44.039  0.074    3.105   40.767   40.939   17.435   22.329  355.689  24.05   7.90  0.00 40.9293                          39.96
  42.506  0.020    2.253   41.643   41.644    6.098  101.263  218.900  23.53   7.30  0.00 41.6477                          40.65
  44.178  0.011    2.912   43.679   44.056  285.001  252.827  253.365  24.11   7.62  0.00 44.0498                          43.10
  44.935  0.015    0.554   44.274   45.309  236.459  180.533  146.788  23.49   6.88  0.00 45.3061                          44.33
  42.747  0.034    1.001   41.298   42.509  281.476   70.981   85.176  22.94   6.63  0.00 42.4920                          41.54
  46.703  0.065    1.482   43.667   44.015  333.915  254.024  173.347  24.09   7.63  0.00 44.0331                          43.04
  43.873  0.069    3.612   40.855   40.906   10.157  130.928  182.948  23.61   7.44 -0.80 40.9380                          39.92
  44.377  0.064    1.716   41.524   41.631   14.962  260.738  124.331  23.71   7.52  0.00 41.6271                          40.65
  43.467  0.032    0.913   42.097   44.745  201.233  102.028   25.526  23.46   6.90 -0.80 44.7303                          43.76
  44.528  0.091    4.467   40.485   40.538  351.602   45.674  199.112  23.71   7.60  0.00 40.5355                          39.54
  44.058  0.063    4.388   41.278   41.707   30.213  115.812  344.181  24.01   7.79  0.00 41.6820                          40.73
  42.488  0.049    0.850   40.406   40.588   22.873   92.144  128.564  23.82   7.68  0.00 40.5687                          39.61
  45.517  0.109    1.975   40.560   42.935   53.334  138.718  124.412  23.88   7.52  0.00 43.0092                          41.94
  42.965  0.025    1.907   41.899   42.122  323.419    4.022  169.827  23.87   7.61  0.00 42.1276                          41.14
  44.650  0.019    0.903   43.788   44.693   91.941  189.238  114.837  24.38   7.85  0.00 44.6878                          43.72
  42.505  0.045    0.932   40.571   44.130  214.337   81.389  258.088  23.58   7.12  0.00 44.1025                          43.14
  43.251  0.171   29.922   35.846   35.937  352.459  109.152  190.925  23.46   7.84  0.00 35.9405                          34.96
  43.943  0.074    1.725   40.669   40.665    0.066   91.515  224.589  23.44   7.31  0.00 40.6678                          39.67
  44.557  0.143    9.917   38.204   40.293  318.259  101.686   61.327  23.84   7.72  0.00 40.2405                          39.35
  46.603  0.222    9.928   36.276   36.421  352.608  291.970  191.328  23.77   8.07  0.00 36.3976                          35.49
  42.607  0.029    1.575   41.376   42.958  254.857   30.998   46.044  23.42   7.03 -0.80 42.9132                          41.98
  44.470  0.099    0.558   40.058   43.339  290.387   52.676  162.447  23.98   7.59  0.00 43.4007                          42.36
  44.209  0.055    1.248   41.790   42.667  311.969   71.409  109.909  23.40   7.06  0.00 42.7808                          41.70
  43.840  0.059    3.886   41.231   43.181   72.166  338.031  265.300  23.98   7.62  0.00 43.1725                          42.17
  42.624  0.034    3.762   41.179   43.930  205.823  335.071  148.774  22.90   6.42 -0.80 43.9063                          42.95
  45.156  0.059    0.890   42.470   47.459  212.648   93.922  100.194  23.18   6.42  0.00 47.4725                          46.47
